ID,center_lat,center_lon,sat_item,date,local_cloud_cover,water_pixels,original_dates_list
0,38.12085032,-75.27869865,S2A_MSIL2A_20230919T153921_R011_T18SVH_20241018T113101,2023-09-19,0.0,65556,['2017-05-16']
0,38.12085032,-75.27869865,S2B_MSIL2A_20240908T153819_R011_T18SVH_20240908T210212,2024-09-08,0.0,65624,['2017-05-16']
0,38.12085032,-75.27869865,S2B_MSIL2A_20210606T153809_R011_T18SVH_20210609T202252,2021-06-06,0.0,65544,['2017-05-16']
0,38.12085032,-75.27869865,S2A_MSIL2A_20230522T153811_R011_T18SVH_20240811T131021,2023-05-22,0.0,65428,['2017-05-16']
0,38.12085032,-75.27869865,S2A_MSIL2A_20231221T155651_R054_T18SVH_20231222T051713,2023-12-21,0.01,65664,['2017-05-16']
1,38.0746328,-75.30771075,S2B_MSIL2A_20210825T153809_R011_T18SVH_20210826T030858,2021-08-25,0.0,65892,['2017-05-16']
1,38.0746328,-75.30771075,S2B_MSIL2A_20220803T154819_R054_T18SVH_20220804T142624,2022-08-03,0.0,65960,['2017-05-16']
1,38.0746328,-75.30771075,S2B_MSIL2A_20180702T153809_R011_T18SVH_20201011T111618,2018-07-02,0.0,65644,['2017-05-16']
1,38.0746328,-75.30771075,S2A_MSIL2A_20220517T153821_R011_T18SVH_20220519T201441,2022-05-17,0.0,66448,['2017-05-16']
1,38.0746328,-75.30771075,S2A_MSIL2A_20161018T160122_R054_T18SVH_20210213T115519,2016-10-18,0.0,66168,['2017-05-16']
3,10.840556,-74.523056,S2B_MSIL2A_20200114T152639_R025_T18PWS_20201002T184412,2020-01-14,0.0,51844,['2016-08-07']
3,10.840556,-74.523056,S2A_MSIL2A_20170213T152631_R025_T18PWS_20210208T115819,2017-02-13,0.0,57004,['2016-08-07']
3,10.840556,-74.523056,S2A_MSIL2A_20190603T152641_R025_T18PWT_20201005T213312,2019-06-03,0.0,52260,['2016-08-07']
3,10.840556,-74.523056,S2A_MSIL2A_20230920T152641_R025_T18PWS_20240914T022531,2023-09-20,0.04,44584,['2016-08-07']
3,10.840556,-74.523056,S2A_MSIL2A_20210304T152641_R025_T18PWS_20210305T034859,2021-03-04,0.05,50920,['2016-08-07']
4,10.86370807,-74.52301929,S2A_MSIL2A_20170213T152631_R025_T18PWT_20210208T115813,2017-02-13,0.0,62980,['2016-08-07']
4,10.86370807,-74.52301929,S2B_MSIL2A_20211207T153619_R068_T18PWT_20211208T140649,2021-12-07,0.0,61108,['2016-08-07']
4,10.86370807,-74.52301929,S2A_MSIL2A_20240430T153631_R068_T18PWT_20240430T220701,2024-04-30,0.01,61200,['2016-08-07']
4,10.86370807,-74.52301929,S2B_MSIL2A_20230620T153619_R068_T18PWT_20230620T223547,2023-06-20,0.01,60992,['2016-08-07']
