ID,center_lat,center_lon,sat_item,date,local_cloud_cover,water_pixels,original_dates_list
1508,60.15112796,18.6418569,S2A_MSIL2A_20240626T101031_R022_T33VXG_20240626T194237,2024-06-26,0.0,53804,['2021-07-02']
1508,60.15112796,18.6418569,S2A_MSIL2A_20220128T101301_R022_T33VXG_20220213T064134,2022-01-28,0.12,32216,['2021-07-02']
1508,60.15112796,18.6418569,S2A_MSIL2A_20240217T101101_R022_T33VXG_20240217T133839,2024-02-17,0.47,35808,['2021-07-02']
1508,60.15112796,18.6418569,S2A_MSIL2A_20160412T102022_R065_T34VCM_20210211T032432,2016-04-12,2.34,54636,['2021-07-02']
1509,60.15029963,18.59579036,S2B_MSIL2A_20260306T102019_R065_T34VCM_20260306T155115,2026-03-06,0.0,51932,['2021-07-02']
1509,60.15029963,18.59579036,S2B_MSIL2A_20190628T101039_R022_T34VCM_20201006T073443,2019-06-28,0.0,48884,['2021-07-02']
1509,60.15029963,18.59579036,S2A_MSIL2A_20160608T101032_R022_T34VCM_20210211T173914,2016-06-08,0.01,49232,['2021-07-02']
1509,60.15029963,18.59579036,S2A_MSIL2A_20170325T101021_R022_T34VCM_20210209T013530,2017-03-25,0.15,50760,['2021-07-02']
1509,60.15029963,18.59579036,S2B_MSIL2A_20200314T101019_R022_T34VCM_20201009T234915,2020-03-14,1.44,50076,['2021-07-02']
1510,60.12897257,18.68953816,S2C_MSIL2A_20260410T102021_R065_T33VXG_20260410T160212,2026-04-10,0.0,39256,['2021-07-02']
1510,60.12897257,18.68953816,S2B_MSIL2A_20240525T101559_R065_T33VXG_20240525T141839,2024-05-25,0.0,38432,['2021-07-02']
1510,60.12897257,18.68953816,S2B_MSIL2A_20210227T101029_R022_T34VCM_20210227T195959,2021-02-27,0.2,39720,['2021-07-02']
1510,60.12897257,18.68953816,S2A_MSIL2A_20210831T101031_R022_T33VXG_20210831T222142,2021-08-31,0.76,38152,['2021-07-02']
1510,60.12897257,18.68953816,S2B_MSIL2A_20211217T102329_R065_T33VXG_20211217T230515,2021-12-17,1.4,40924,['2021-07-02']
1511,60.15194028,18.68792611,S2A_MSIL2A_20230126T102311_R065_T33VXG_20240810T093409,2023-01-26,0.0,65592,['2021-07-02']
1511,60.15194028,18.68792611,S2B_MSIL2A_20191105T101119_R022_T33VXG_20201003T132759,2019-11-05,0.0,65548,['2021-07-02']
1511,60.15194028,18.68792611,S2B_MSIL2A_20190608T101029_R022_T34VCM_20201005T234619,2019-06-08,0.0,64884,['2021-07-02']
1511,60.15194028,18.68792611,S2B_MSIL2A_20220814T101559_R065_T33VXG_20240707T220121,2022-08-14,0.0,64888,['2021-07-02']
1511,60.15194028,18.68792611,S2A_MSIL2A_20160721T102032_R065_T33VXG_20210212T064123,2016-07-21,0.0,64928,['2021-07-02']
1512,59.53103019,18.83162219,S2B_MSIL2A_20180511T100029_R122_T34VCM_20201012T084116,2018-05-11,0.0,58104,['2021-07-02']
1512,59.53103019,18.83162219,S2B_MSIL2A_20230131T102149_R065_T34VCM_20230201T004155,2023-01-31,0.0,58916,['2021-07-02']
1512,59.53103019,18.83162219,S2C_MSIL2A_20260410T102021_R065_T34VCM_20260410T160212,2026-04-10,0.0,58220,['2021-07-02']
1512,59.53103019,18.83162219,S2B_MSIL2A_20240409T095549_R122_T34VCM_20240411T002009,2024-04-09,0.0,58268,['2021-07-02']
1512,59.53103019,18.83162219,S2A_MSIL2A_20230513T100551_R022_T34VCM_20230513T183005,2023-05-13,0.0,57852,['2021-07-02']
1513,59.55400223,18.83014511,S2B_MSIL2A_20230415T100029_R122_T34VCM_20230415T143849,2023-04-15,0.0,49236,['2021-07-02']
1513,59.55400223,18.83014511,S2B_MSIL2A_20231012T095849_R122_T34VCM_20241102T165148,2023-10-12,0.0,49044,['2021-07-02']
1513,59.55400223,18.83014511,S2A_MSIL2A_20160827T101022_R022_T34VCM_20210212T183805,2016-08-27,0.0,48472,['2021-07-02']
1513,59.55400223,18.83014511,S2A_MSIL2A_20160502T102032_R065_T34VCM_20210211T075627,2016-05-02,0.0,49428,['2021-07-02']
1513,59.55400223,18.83014511,S2A_MSIL2A_20240626T101031_R022_T34VCM_20240626T194051,2024-06-26,0.0,48060,['2021-07-02']
1514,59.53027269,18.78639829,S2A_MSIL2A_20190720T100031_R122_T34VCM_20201005T165119,2019-07-20,0.0,57696,['2021-07-02']
1514,59.53027269,18.78639829,S2A_MSIL2A_20240626T101031_R022_T34VCM_20240626T194051,2024-06-26,0.0,57728,['2021-07-02']
1514,59.53027269,18.78639829,S2B_MSIL2A_20220814T101559_R065_T34VCM_20240707T220121,2022-08-14,0.0,57676,['2021-07-02']
1514,59.53027269,18.78639829,S2A_MSIL2A_20160725T100032_R122_T34VCM_20210212T075312,2016-07-25,0.01,57820,['2021-07-02']
1514,59.53027269,18.78639829,S2B_MSIL2A_20220314T101019_R022_T34VCM_20220314T224605,2022-03-14,0.04,56652,['2021-07-02']
1515,59.50730124,18.78790372,S2A_MSIL2A_20240626T101031_R022_T34VCM_20240626T194051,2024-06-26,0.0,62992,['2021-07-02']
1515,59.50730124,18.78790372,S2A_MSIL2A_20200306T100021_R122_T34VCL_20200929T103641,2020-03-06,0.01,63988,['2021-07-02']
1515,59.50730124,18.78790372,S2B_MSIL2A_20180726T102019_R065_T34VCL_20201011T202306,2018-07-26,0.02,63152,['2021-07-02']
1515,59.50730124,18.78790372,S2A_MSIL2A_20241017T102021_R065_T34VCL_20241017T143350,2024-10-17,0.02,63800,['2021-07-02']
1515,59.50730124,18.78790372,S2B_MSIL2A_20181014T102019_R065_T34VCM_20201009T113351,2018-10-14,0.04,64128,['2021-07-02']
1516,59.50805804,18.83309692,S2B_MSIL2A_20231012T095849_R122_T34VCL_20241102T165148,2023-10-12,0.0,48936,['2021-07-02']
1516,59.50805804,18.83309692,S2A_MSIL2A_20241017T102021_R065_T34VCL_20241017T143350,2024-10-17,0.0,49180,['2021-07-02']
1516,59.50805804,18.83309692,S2A_MSIL2A_20251018T100041_R122_T34VCM_20251018T115256,2025-10-18,0.0,49016,['2021-07-02']
1516,59.50805804,18.83309692,S2C_MSIL2A_20250718T100051_R122_T34VCL_20250718T152418,2025-07-18,0.0,48220,['2021-07-02']
1516,59.50805804,18.83309692,S2B_MSIL2A_20190416T100029_R122_T34VCM_20201007T025604,2019-04-16,0.02,49220,['2021-07-02']
1517,59.50879924,18.87829247,S2B_MSIL2A_20221020T100939_R022_T34VCM_20221020T212111,2022-10-20,0.01,60684,['2021-07-02']
1517,59.50879924,18.87829247,S2A_MSIL2A_20230513T100551_R022_T34VCM_20230513T183005,2023-05-13,0.01,61016,['2021-07-02']
1517,59.50879924,18.87829247,S2A_MSIL2A_20230709T100031_R122_T34VCL_20241018T161204,2023-07-09,0.01,60892,['2021-07-02']
1517,59.50879924,18.87829247,S2A_MSIL2A_20171004T102021_R065_T34VCM_20210202T134623,2017-10-04,0.01,61188,['2021-07-02']
1517,59.50879924,18.87829247,S2A_MSIL2A_20160317T100012_R122_T34VCM_20210528T155916,2016-03-17,0.02,57920,['2021-07-02']
1518,59.53177206,18.87684844,S2C_MSIL2A_20250323T100711_R022_T34VCM_20250323T160703,2025-03-23,0.0,61464,['2021-07-02']
1518,59.53177206,18.87684844,S2B_MSIL2A_20191029T102039_R065_T34VCM_20201004T072730,2019-10-29,0.0,61820,['2021-07-02']
1518,59.53177206,18.87684844,S2B_MSIL2A_20220814T101559_R065_T34VCM_20240707T220121,2022-08-14,0.01,61164,['2021-07-02']
1518,59.53177206,18.87684844,S2B_MSIL2A_20170824T100019_R122_T34VCM_20210201T092021,2017-08-24,0.01,61220,['2021-07-02']
1518,59.53177206,18.87684844,S2B_MSIL2A_20180531T100029_R122_T34VCM_20201012T162423,2018-05-31,0.07,61080,['2021-07-02']
1519,59.56928837,19.0626122,S2B_MSIL2A_20170715T100029_R122_T34VCM_20210210T093340,2017-07-15,0.0,42488,['2021-07-02']
1519,59.56928837,19.0626122,S2A_MSIL2A_20260327T100051_R122_T34VCM_20260327T165916,2026-03-27,0.0,43156,['2021-07-02']
1519,59.56928837,19.0626122,S2B_MSIL2A_20180511T100029_R122_T34VCM_20201012T084116,2018-05-11,0.01,42760,['2021-07-02']
1519,59.56928837,19.0626122,S2C_MSIL2A_20250323T100711_R022_T34VCM_20250323T160703,2025-03-23,0.02,43040,['2021-07-02']
1519,59.56928837,19.0626122,S2A_MSIL2A_20160317T100012_R122_T34VCM_20210528T155916,2016-03-17,0.05,39524,['2021-07-02']
1520,59.56861043,19.01733033,S2B_MSIL2A_20220814T101559_R065_T34VCM_20240707T220121,2022-08-14,0.0,41648,['2021-07-02']
1520,59.56861043,19.01733033,S2B_MSIL2A_20191029T102039_R065_T34VCM_20201004T072730,2019-10-29,0.0,46148,['2021-07-02']
1520,59.56861043,19.01733033,S2A_MSIL2A_20210513T101021_R022_T34VCM_20210514T152342,2021-05-13,0.0,50372,['2021-07-02']
1520,59.56861043,19.01733033,S2A_MSIL2A_20171103T102201_R065_T34VCM_20201014T180752,2017-11-03,0.0,44464,['2021-07-02']
1520,59.56861043,19.01733033,S2A_MSIL2A_20160412T102022_R065_T34VCM_20210211T032432,2016-04-12,0.0,49672,['2021-07-02']
1524,56.00604341,14.85817774,S2B_MSIL2A_20200625T101559_R065_T33VVC_20200824T024436,2020-06-25,0.0,47220,['2021-07-12']
1524,56.00604341,14.85817774,S2A_MSIL2A_20240308T100841_R022_T33VVC_20240308T130854,2024-03-08,0.0,47412,['2021-07-12']
1524,56.00604341,14.85817774,S2A_MSIL2A_20230612T100601_R022_T33VVC_20230612T172722,2023-06-12,0.0,47220,['2021-07-12']
1524,56.00604341,14.85817774,S2B_MSIL2A_20250808T101559_R065_T33VVC_20250808T125057,2025-08-08,0.0,47292,['2021-07-12']
1524,56.00604341,14.85817774,S2B_MSIL2A_20240721T100559_R022_T33VVC_20240721T144000,2024-07-21,0.0,47112,['2021-07-12']
1528,58.65159857,17.07013619,S2A_MSIL2A_20240626T101031_R022_T33VXF_20240626T194218,2024-06-26,0.0,46808,['2021-07-12']
1528,58.65159857,17.07013619,S2B_MSIL2A_20221023T102029_R065_T33VXF_20221024T052237,2022-10-23,0.0,48784,['2021-07-12']
1528,58.65159857,17.07013619,S2B_MSIL2A_20250719T101559_R065_T33VXF_20250719T130235,2025-07-19,0.0,47140,['2021-07-12']
1528,58.65159857,17.07013619,S2B_MSIL2A_20220625T101559_R065_T33VXF_20240629T115118,2022-06-25,0.0,46840,['2021-07-12']
1528,58.65159857,17.07013619,S2A_MSIL2A_20161128T102352_R065_T33VXF_20210415T034923,2016-11-28,0.16,49936,['2021-07-12']
1533,59.28610894,18.73256309,S2A_MSIL2A_20220624T100041_R122_T34VCL_20240714T162313,2022-06-24,0.0,43396,['2021-07-12']
1533,59.28610894,18.73256309,S2B_MSIL2A_20190608T101029_R022_T34VCL_20201005T234617,2019-06-08,0.0,43840,['2021-07-12']
1533,59.28610894,18.73256309,S2A_MSIL2A_20200614T100031_R122_T34VCL_20200919T033509,2020-06-14,0.01,43656,['2021-07-12']
1533,59.28610894,18.73256309,S2A_MSIL2A_20180628T101031_R022_T34VCL_20201012T032119,2018-06-28,0.01,43796,['2021-07-12']
1533,59.28610894,18.73256309,S2A_MSIL2A_20230416T101601_R065_T34VCL_20240904T172156,2023-04-16,0.01,43764,['2021-07-12']
1534,59.26234847,18.68922479,S2B_MSIL2A_20210227T101029_R022_T34VCL_20210227T214401,2021-02-27,0.0,53656,['2021-07-12']
1534,59.26234847,18.68922479,S2B_MSIL2A_20250818T101559_R065_T34VCL_20250818T125628,2025-08-18,0.0,53484,['2021-07-12']
1534,59.26234847,18.68922479,S2C_MSIL2A_20260410T102021_R065_T34VCL_20260410T160212,2026-04-10,0.0,53728,['2021-07-12']
1534,59.26234847,18.68922479,S2B_MSIL2A_20200910T100559_R022_T34VCL_20200912T024653,2020-09-10,0.01,53388,['2021-07-12']
1534,59.26234847,18.68922479,S2A_MSIL2A_20160412T102022_R065_T34VCL_20210211T032429,2016-04-12,0.01,53548,['2021-07-12']
1535,59.24016588,18.73561491,S2A_MSIL2A_20210420T100021_R122_T34VCL_20210421T164654,2021-04-20,0.0,49324,['2021-07-12']
1535,59.24016588,18.73561491,S2A_MSIL2A_20230612T100601_R022_T34VCL_20240911T004021,2023-06-12,0.0,48288,['2021-07-12']
